security_id,ticker,company_name,dividend_cut_probability,dividend_sustainability_score,dividend_growth_probability,dividend_risk_model_confidence
ATCO-A.ST,ATCO-A.ST,Atlas Copco AB Series A,0.252296038097873,74.77039619021271,0.444395902957747,0.68
AXFO.ST,AXFO.ST,Axfood AB,0.3507391903243885,64.92608096756115,0.3981933899936815,0.78
AZA.ST,AZA.ST,Avanza Bank Holding AB (publ),0.27379216428291264,72.62078357170874,0.5644684492862155,0.68
AZN.ST,AZN.ST,AstraZeneca PLC,0.23995754072925912,76.0042459270741,0.4824509421446231,0.68
BEIJ-B.ST,BEIJ-B.ST,Beijer Ref AB (publ),0.25240198517370355,74.75980148262964,0.4441250156968704,0.68
BOL.ST,BOL.ST,Boliden AB,0.3044417585793816,69.55582414206184,0.3278827875661966,0.68
BRAV.ST,BRAV.ST,Bravida Holding AB,0.2879575407292591,71.20424592707408,0.3871418304796729,0.68
CAST.ST,CAST.ST,Castellum AB,0.4484813447502233,55.15186552497767,0.36289320149751625,0.78
EKTA-B.ST,EKTA-B.ST,Elekta AB (publ),0.5907383014911577,40.92616985088423,0.06444468896211157,0.78
ERIC-B.ST,ERIC-B.ST,Telefonaktiebolaget LM Ericsson (publ),0.23195754072925912,76.80424592707409,0.5061971082325921,0.68
EVO.ST,EVO.ST,Evolution AB (publ),0.23640198517370353,76.35980148262963,0.5331156273499811,0.68
GETI-B.ST,GETI-B.ST,Getinge AB ser. B,0.2799575407292591,72.00424592707408,0.4091864978738283,0.68
HEXA-B.ST,HEXA-B.ST,Hexagon AB (publ),0.2799575407292591,72.00424592707408,0.4538049690774941,0.68
